Date;Time of day;Total (grid load)[MWh];Residual load[MWh];Hydro pumped storage[MWh]
Oct 17, 2022;12:00 AM;10,986;9,012;463
Oct 17, 2022;12:15 AM;10,876;8,770;467
Oct 17, 2022;12:30 AM;10,640;8,399;724
Oct 17, 2022;12:45 AM;10,800;8,433;865
Oct 17, 2022;1:00 AM;10,441;7,899;650
Oct 17, 2022;1:15 AM;10,373;7,716;760
Oct 17, 2022;1:30 AM;10,442;7,691;977
Oct 17, 2022;1:45 AM;10,552;7,689;1,085
Oct 17, 2022;2:00 AM;10,423;7,451;971
Oct 17, 2022;2:15 AM;10,382;7,297;1,055
Oct 17, 2022;2:30 AM;10,430;7,198;1,094
Oct 17, 2022;2:45 AM;10,554;7,191;1,158
Oct 17, 2022;3:00 AM;10,627;7,224;1,140
Oct 17, 2022;3:15 AM;10,644;7,139;1,341
Oct 17, 2022;3:30 AM;10,671;6,998;1,379
Oct 17, 2022;3:45 AM;10,721;6,950;1,366
Oct 17, 2022;4:00 AM;10,928;7,036;1,464
Oct 17, 2022;4:15 AM;11,035;6,992;1,573
Oct 17, 2022;4:30 AM;11,192;6,913;1,587
Oct 17, 2022;4:45 AM;11,439;7,004;1,578
Oct 17, 2022;5:00 AM;11,784;7,269;1,488
Oct 17, 2022;5:15 AM;11,948;7,272;1,398
Oct 17, 2022;5:30 AM;12,298;7,461;1,250
Oct 17, 2022;5:45 AM;12,489;7,513;1,024
Oct 17, 2022;6:00 AM;12,965;7,905;636
Oct 17, 2022;6:15 AM;13,248;8,057;179
Oct 17, 2022;6:30 AM;13,632;8,275;100
Oct 17, 2022;6:45 AM;14,202;8,806;78
Oct 17, 2022;7:00 AM;14,724;9,292;15
Oct 17, 2022;7:15 AM;15,074;9,585;3
Oct 17, 2022;7:30 AM;15,284;9,750;2
Oct 17, 2022;7:45 AM;15,236;9,667;1
Oct 17, 2022;8:00 AM;15,515;9,731;1
Oct 17, 2022;8:15 AM;15,570;9,553;1
Oct 17, 2022;8:30 AM;15,753;9,513;1
Oct 17, 2022;8:45 AM;15,773;9,208;1
Oct 17, 2022;9:00 AM;15,873;8,984;1
Oct 17, 2022;9:15 AM;15,935;8,667;1
Oct 17, 2022;9:30 AM;15,981;8,426;2
Oct 17, 2022;9:45 AM;15,984;8,144;14
Oct 17, 2022;10:00 AM;16,052;7,935;19
Oct 17, 2022;10:15 AM;16,104;7,825;24
Oct 17, 2022;10:30 AM;16,297;7,846;172
Oct 17, 2022;10:45 AM;16,470;7,819;294
Oct 17, 2022;11:00 AM;16,506;7,640;314
Oct 17, 2022;11:15 AM;16,699;7,618;439
Oct 17, 2022;11:30 AM;16,791;7,478;431
Oct 17, 2022;11:45 AM;16,803;7,295;522
Oct 17, 2022;12:00 PM;16,915;7,232;864
Oct 17, 2022;12:15 PM;16,968;7,203;1,008
Oct 17, 2022;12:30 PM;17,052;7,211;1,071
Oct 17, 2022;12:45 PM;16,101;6,291;1,158
Oct 17, 2022;1:00 PM;16,139;6,308;1,023
Oct 17, 2022;1:15 PM;17,110;7,457;962
Oct 17, 2022;1:30 PM;16,888;7,582;889
Oct 17, 2022;1:45 PM;16,666;7,501;932
Oct 17, 2022;2:00 PM;16,588;7,466;660
Oct 17, 2022;2:15 PM;16,476;7,627;445
Oct 17, 2022;2:30 PM;16,310;7,677;329
Oct 17, 2022;2:45 PM;15,344;7,151;364
Oct 17, 2022;3:00 PM;16,060;8,320;374
Oct 17, 2022;3:15 PM;15,865;8,446;210
Oct 17, 2022;3:30 PM;15,828;8,686;137
Oct 17, 2022;3:45 PM;15,765;8,925;50
Oct 17, 2022;4:00 PM;15,602;9,186;202
Oct 17, 2022;4:15 PM;15,398;9,265;122
Oct 17, 2022;4:30 PM;15,316;9,634;130
Oct 17, 2022;4:45 PM;15,271;10,020;101
Oct 17, 2022;5:00 PM;15,252;10,355;163
